Security,Term,Yield,Speed,WAL
Agency MBS,18,0.05,0.005,0.684480752799804
Agency MBS,24,0.05,0.005,0.9130015391217366
Agency MBS,36,0.05,0.005,1.3544556685760016
Agency MBS,48,0.05,0.005,1.775468216816513
Agency MBS,60,0.05,0.005,2.1789517916566634
Agency MBS,72,0.05,0.005,2.5664175693958926
Agency MBS,84,0.05,0.005,2.9396934625582785
Agency MBS,120,0.05,0.005,3.985046043878714
Agency MBS,180,0.05,0.005,5.521422370571866
Agency MBS,240,0.05,0.005,6.846228995697025
Agency MBS,360,0.05,0.005,8.966122253270598
Agency MBS,18,0.05,0.0075,0.6700716308213903
Agency MBS,24,0.05,0.0075,0.8873981262014666
Agency MBS,36,0.05,0.0075,1.2967221877520407
Agency MBS,48,0.05,0.0075,1.677053753282028
Agency MBS,60,0.05,0.0075,2.0332088355782356
Agency MBS,72,0.05,0.0075,2.368110992024795
Agency MBS,84,0.05,0.0075,2.684121795833569
Agency MBS,120,0.05,0.0075,3.5381530621250072
Agency MBS,180,0.05,0.0075,4.719397118802369
Agency MBS,240,0.05,0.0075,5.674052932488166
Agency MBS,360,0.05,0.0075,7.089047137378806
Agency MBS,18,0.05,0.01,0.656327079277366
Agency MBS,24,0.05,0.01,0.8625525781436894
Agency MBS,36,0.05,0.01,1.244321804583432
Agency MBS,48,0.05,0.01,1.5904230812453701
Agency MBS,60,0.05,0.01,1.907459384880544
Agency MBS,72,0.05,0.01,2.1995663720033547
Agency MBS,84,0.05,0.01,2.4714726383574708
Agency MBS,120,0.05,0.01,3.1838432664481995
Agency MBS,180,0.05,0.01,4.1220608170365365
Agency MBS,240,0.05,0.01,4.843468272368316
Agency MBS,360,0.05,0.01,5.855108760823165
Agency MBS,18,0.05,0.0125,0.6438804829873828
Agency MBS,24,0.05,0.0125,0.8403317638184219
Agency MBS,36,0.05,0.0125,1.1965021329305008
Agency MBS,48,0.05,0.0125,1.5127592489665218
Agency MBS,60,0.05,0.0125,1.79748598260171
Agency MBS,72,0.05,0.0125,2.0556932840249917
Agency MBS,84,0.05,0.0125,2.291576623460162
Agency MBS,120,0.05,0.0125,2.895968085400328
Agency MBS,180,0.05,0.0125,3.6608828945133567
Agency MBS,240,0.05,0.0125,4.2259338977736585
Agency MBS,360,0.05,0.0125,4.985658426931727
Agency MBS,18,0.05,0.015,0.6317904155010267
Agency MBS,24,0.05,0.015,0.8190540897977874
Agency MBS,36,0.05,0.015,1.1526055701708244
Agency MBS,48,0.05,0.015,1.443486253020481
Agency MBS,60,0.05,0.015,1.7004928650185809
Agency MBS,72,0.05,0.015,1.9301082016396123
Agency MBS,84,0.05,0.015,2.1377133928803267
Agency MBS,120,0.05,0.015,2.658121104047336
Agency MBS,180,0.05,0.015,3.294417873783896
Agency MBS,240,0.05,0.015,3.749452698534753
Agency MBS,360,0.05,0.015,4.341605221666791
